Galaxy,Y*,rho0,Rc,Y*_error,rho0_error,Rc_error
NGC5585,0.41099814208423513,23621770.45472182,2.876097002574907,[0.410645  0.4113301],[23590092.69996848 23655167.70804439],[2.87355178 2.87851149]
UGC05764,0.0018112432782788918,404833222.9633249,0.3878588095527522,[0.0002734  0.02195921],[4.03561899e+08 4.05591762e+08],[0.38739928 0.38843772]
DDO161,0.000130080624885403,8539565.175452892,3.4769493079332476,[-0.01084092  0.00049554],[8519554.04755005 8552312.37327282],[3.47326556 3.48519694]
UGC07125,0.5000110180943086,7533482.0500322,2.8371683613488217,[0.49335435 0.50591305],[7365506.24072913 7702315.96373975],[2.80501263 2.86965862]
NGC4214,0.7770206871554474,63828747.58464097,1.6704623799035232,[0.76960623 0.78497995],[62057048.17183298 65669444.90489757],[1.63643805 1.70415469]
UGC05918,0.27148670549699605,62980140.928438686,0.7907041519701775,[0.16548265 0.37581114],[60153373.16432705 65656251.27127158],[0.77232026 0.80719934]
NGC0801,0.4935068135372511,1051878.1093318257,33.51084511974882,[0.49336538 0.49365884],[1049775.92540627 1054312.0670083 ],[33.43762473 33.57333033]
UGC02455,0.03265954486078515,8406331.76248017,8149.526153029483,[0.0315929 0.033807 ],[8358456.17496681 8452952.05601268],[   405.32990427 242829.27181401]
UGC03580,0.3368286556545765,18759333.56080383,4.108485270471324,[0.33672579 0.33693619],[18746153.4981455 18772031.5771784],[4.10665182 4.11026828]
NGC4010,0.35035861819156716,27630067.678782362,3.5014112219465345,[0.34665434 0.35468438],[27130265.31035284 28055693.08864404],[3.47190213 3.53384994]
D631-7,0.000494110745479469,10887155.82150283,3.781792032982324,[-0.0087527   0.00145462],[10853645.8308611  10921104.88398466],[3.76409567 3.79629037]
NGC3953,0.5918588739485149,597606.538701863,20766.528278362995,[0.59151383 0.59221245],[583643.94322001 610253.45081994],[  1484.01626895 314209.55583864]
NGC0289,0.6002627838898196,7499347.113977745,8.221940366709642,[0.59907528 0.60132964],[7435207.41858884 7571011.62470944],[8.17824856 8.2611878 ]
NGC1705,0.9881154286113183,328244908.16752225,0.5346666423844332,[0.97110003 0.99719354],[3.17547396e+08 3.46666452e+08],[0.51926033 0.54504521]
UGC00634,0.002009559112986943,32151406.912053283,2.8541125032953087,[0.00018481 0.00585715],[32004715.6689325  32272115.06544875],[2.84749989 2.86083283]
UGC05716,0.8816587440836072,23862018.457518015,2.134776963091246,[0.87851924 0.88491238],[23781482.80005547 23943718.8978661 ],[2.13078377 2.13889266]
UGC03205,0.711996251103356,5856190.913141958,12.230694282961846,[0.71185062 0.71212729],[5849981.97187335 5863022.33259328],[12.22073994 12.23974331]
F574-1,0.0013940160714455414,86381894.99545127,1.5852863787656317,[0.0001577  0.00421613],[85775442.06270902 87046948.90252855],[1.57855945 1.59179247]
DDO168,4.5400470051178007e-05,27206861.372390285,2.4003253364310817,[-0.00697397  0.0001347 ],[27162900.03593725 27256604.67643634],[2.39483748 2.40736685]
PGC51017,0.43355747740263656,4.7837534185055057e-122,2.5032962032025337e-115,[0.43047833 0.43661576],[1.55040296e-251 9.40732422e-027],[2.75341252e-244 5.57102682e-028]
NGC4389,0.0544404940980541,25686676.627858218,6.808175660020641,[0.04875979 0.05919254],[24196670.64791666 27533600.84418904],[6.12197245 7.62148693]
UGC06786,0.7218744985189414,26104820.516563065,6.317964289437551,[0.72176296 0.72198167],[26085641.51752754 26123898.81408115],[6.31505237 6.32072294]
UGC07399,0.0015975824006529762,530447926.7371411,0.6318229955798831,[0.00039239 0.00500011],[5.28259817e+08 5.32761357e+08],[0.63021616 0.63341979]
UGC07608,0.4152411975215465,43417721.65953105,1.7658741322611278,[0.29105645 0.54881244],[41043702.83531006 45869379.03651676],[1.70570487 1.83027355]
UGC00731,0.998533285187702,65880960.96124598,1.1787007351867214,[0.99508264 1.01094856],[65340322.75141975 66324842.71478893],[1.17362701 1.18430709]
NGC6195,0.6240113273122874,667626.5441090727,61609.372765121756,[0.62394764 0.62407719],[666931.28319399 668349.95914849],[ 16716.55410915 378365.03841029]
DDO170,0.000170540106127611,25045926.26874472,1.6950098884802283,[1.57459879e-07 4.35916982e-04],[24978455.28247715 25104698.43408775],[1.69215881 1.69751072]
UGC08699,0.6838042593025899,21930439.30773032,4.864082321050485,[0.68372473 0.68388011],[21895569.80053916 21966216.66761124],[4.85818019 4.86986949]
NGC3972,0.780879928308768,5333529.144108028,13179.895522017277,[0.77959083 0.78240807],[5307422.47627963 5355232.71461165],[   923.14845332 183686.19172849]
UGC05005,0.17100311870962298,8081436.007307005,5.215028370309668,[0.10152002 0.23789557],[7250915.62677437 9099801.31616852],[4.88835339 5.54197113]
UGC07603,0.32627662182070816,148769368.94309294,0.7833206594008884,[0.31370157 0.33991431],[1.45257098e+08 1.52022982e+08],[0.7743319  0.79341643]
UGC07261,0.16575009521982897,288438069.55016613,0.5899979171208342,[0.1513368  0.17990873],[2.77501911e+08 3.00856985e+08],[0.57767565 0.60042997]
NGC5985,0.20890968485052555,999995601.5199058,1.194847103996676,[0.20352095 0.20989121],[9.99956516e+08 1.02616528e+09],[1.19393932 1.19557547]
UGC06787,0.5815066794625623,221539412.37235075,1.9333414622897165,[0.58143978 0.58156419],[2.21428733e+08 2.21666223e+08],[1.93278914 1.93381327]
F568-1,0.017115132693712627,100520882.06383839,2.0292347949097462,[0.00443991 0.04608034],[9.85987596e+07 1.02473181e+08],[2.0061045  2.05115946]
UGC05986,0.6749715853535787,41673270.03258981,2.840280579780051,[0.6726414  0.67730691],[41400970.35475021 41931534.53790905],[2.830248   2.85219209]
UGC02885,0.7798625946755499,1292102.771517564,47.70483124105541,[0.77935872 0.78036352],[1286614.99797185 1297858.60499118],[47.47581622 47.9202407 ]
NGC2683,0.4131749417500852,133897846.83590183,1.7843652031669253,[0.41168018 0.41470564],[1.29911798e+08 1.38377293e+08],[1.75528555 1.81225185]
NGC3741,0.9997099740244302,18779411.412357368,1.9489169117834466,[0.99909315 1.01057084],[18677950.12764946 18876631.25379496],[1.94019696 1.95861928]
NGC7793,0.5332667822646379,29277749.85886258,2.280767993030637,[0.53156835 0.53520721],[28679099.34202141 29827613.87330227],[2.25474364 2.30964063]
NGC3992,0.7792797593575685,2113872.2883623624,25.508604767827766,[0.77861218 0.77997383],[2094895.04506333 2130494.33534891],[25.32602183 25.72352533]
UGC11557,0.21338017782772906,11981217.353299817,3.184220724126004,[0.20223996 0.22265071],[10870879.37386426 13222759.47724607],[3.02555612 3.35744338]
NGC2366,0.00015729649735055404,50058359.33098935,1.0679615815056753,[1.19735846e-05 4.84427472e-04],[49865486.14285364 50243137.68603616],[1.06539653 1.0708709 ]
UGC07866,0.9813017308037155,6366336.366183701,3.940164136114718,[0.94919626 0.99510752],[5656581.48043995 7495871.03260979],[2.6871635  7.68642652]
UGC00891,0.3936000113367167,12111239.326184724,3.338175340105808,[0.38029237 0.40656345],[12027772.0062312  12190349.34272728],[3.32489904 3.35285339]
UGCA444,0.7846145340032428,36508287.70394921,0.9329288559509543,[0.66696811 0.89196675],[35712615.04837985 37300475.99884819],[0.91508747 0.95115103]
UGCA281,0.6700978541109504,92835581.32742734,0.45605517563761294,[0.64239646 0.69589878],[86649129.27682026 99493095.41619624],[0.43943894 0.47418575]
NGC5055,0.26690568050586383,55805034.482555404,3.06502883880251,[0.26689765 0.26691384],[55795036.48109093 55815137.62870137],[3.0647433  3.06531389]
UGC07323,0.4380392701756726,15876033.093405508,3.752496868692874,[0.42607488 0.44908159],[15342273.41210628 16486062.90094926],[3.66350575 3.83817054]
NGC4051,0.2579408943654465,225615553.17153743,1.0785692553203625,[0.25470881 0.26091404],[2.18910834e+08 2.33140807e+08],[1.05864014 1.09942824]
UGC01230,0.998087876348319,61882144.83442995,1.5772607140907173,[0.99462211 0.99969777],[59229331.09913924 64431876.11660227],[1.54281651 1.61601402]
ESO079-G014,0.945554431092555,1913087.2699211803,28257.54132398218,[0.94524884 0.94586301],[1911206.05687933 1915098.72962014],[  1658.91952554 312797.48457536]
NGC5907,0.6326644836460182,3282063.5456268876,15.721793875971798,[0.63248468 0.63284395],[3275269.62068526 3288950.69447228],[15.6996552  15.74414454]
UGC05253,0.6623527874027986,8944852.615603726,11.642949199421729,[0.66234013 0.6623647 ],[8943405.24590049 8946236.11486525],[11.64129663 11.64455995]
DDO064,0.5757749169121171,44291124.78442653,1.2865647404397895,[0.49701702 0.66920709],[41173306.55272473 47426228.41930507],[1.23698377 1.34546756]
NGC6789,0.6099504829904251,374215333.71061736,2.136851844962606,[0.51417119 0.69242392],[3.53594892e+08 4.03538489e+08],[1.3608137  6.99759881]
F561-1,0.6300183144581325,7.863962027245508e-148,2.6838826812493153e-148,[0.62551472 0.63372462],[1.61542039e-264 5.73919227e-027],[5.52572422e-273 8.28276540e-024]
UGC07151,0.8024343917441168,34881933.27365972,1.35644977638782,[0.79614997 0.80896951],[33679536.80666872 36034274.34647176],[1.3342526  1.37989298]
NGC0024,0.018822980288819523,997090308.6441311,0.46824944096132326,[0.01288022 0.04195984],[9.71281165e+08 9.99481002e+08],[0.46767871 0.47299759]
UGC04278,0.5905747146525262,13690345.635739224,6.134148068087769,[0.58154026 0.59847997],[13574382.12881452 13819688.41505076],[6.06712541 6.20250378]
UGC02916,0.5448929219523092,27989368.1076971,5.685288239469486,[0.54487176 0.54491386],[27980953.59250708 27998040.81398867],[5.6837678  5.68699125]
NGC2841,0.9153704566446207,11232332.256586742,11.136738284428045,[0.91517012 0.91556496],[11213820.27456575 11249558.98663339],[11.12631575 11.14785815]
UGC02487,0.9999958957685183,16392474.323587276,9.037649553746123,[0.99998408 0.99999965],[16374015.97501185 16409705.39997885],[9.03211779 9.04297596]
F565-V2,0.26411688168533287,21887514.080494024,2.9454716822828555,[0.14596466 0.38546282],[20854240.81444585 22869404.27929546],[2.86473034 3.03537884]
UGC07690,0.6403614659026596,137238180.50653407,0.5509085730604657,[0.62904155 0.65017594],[1.26065638e+08 1.49451706e+08],[0.52740777 0.57461393]
UGC04305,0.4952907828308276,7.074521769819233e-141,1.8641831794166898e-126,[0.49314095 0.49710061],[5.55823824e-271 1.40284085e-036],[9.37929008e-260 5.21288181e-030]
UGC04325,0.9331544381879393,381438677.61719614,0.530885672029152,[0.92086195 0.94444358],[3.78605048e+08 3.84286228e+08],[0.52800766 0.53381908]
IC4202,0.03295992392570758,406178486.0960886,1.7930459391646119,[0.03252415 0.03340972],[4.05811048e+08 4.06546269e+08],[1.79237336 1.79369235]
NGC2403,0.5176888553118186,55787537.80044123,2.2928648485636978,[0.51762881 0.51774668],[55769402.48327645 55807070.76492184],[2.29243531 2.29327632]
UGC06983,0.756653365404234,42395760.322863914,2.22977634781694,[0.74093036 0.77160488],[40805432.37862042 44251445.60946646],[2.18106704 2.27390997]
NGC6503,0.21037929297623292,384629125.0958231,0.7789725880503952,[0.20979278 0.2112654 ],[3.80016129e+08 3.87478397e+08],[0.77607437 0.78375017]
UGC07559,0.22134260657889487,27345884.877176903,0.9680467643755134,[0.15186654 0.28241179],[24116975.87493991 30983850.21607567],[0.90318987 1.03885228]
NGC3949,0.38521886240390146,13052599.663829684,9442.457444870193,[0.38461409 0.38597159],[12915086.02617995 13173524.91851627],[   495.56824013 197544.2736957 ]
NGC6946,0.43587812757129707,13000541.81895,6.131565669358313,[0.43578996 0.43596364],[12977976.11198884 13025106.20848051],[6.12276052 6.1394878 ]
NGC1003,0.875970004110352,3416774.3882120005,9.893027247686254,[0.87534124 0.87656515],[3412256.56236798 3421185.25292768],[9.88466346 9.90176524]
NGC0055,2.482411242880395e-05,17350285.4882137,3.2901553402733503,[-1.11813883e-02  8.96152722e-05],[17322472.77482308 17377251.29951341],[3.28509732 3.29466304]
NGC4138,0.5355992316955733,148628503.54694456,1.3512846972235018,[0.53216761 0.53887359],[1.37393234e+08 1.59798452e+08],[1.30026309 1.40825148]
F583-1,0.8949472986237023,18770469.033803977,3.0244889411863274,[0.86837525 0.92187814],[18492112.86806253 19059080.27625779],[3.00114138 3.04914311]
UGC00191,0.9999852708979615,15818950.020408131,2.7756251577415076,[0.99995827 0.99999861],[15782462.14806407 15854562.89241581],[2.7708295  2.78028905]
UGC07524,0.0018697489563175478,39338511.21827663,1.87578631272712,[0.00013113 0.00502937],[39169473.83188196 39502494.23290135],[1.87046168 1.88076166]
UGC04499,0.001592177704080763,77442509.59148176,1.1764762719904434,[5.13642438e-05 5.74420298e-03],[76666744.50341277 78112906.40535918],[1.17035254 1.18221396]
ESO563-G021,0.8963949937145078,1681853.2737435494,106805.05390175065,[0.89630473 0.89649114],[1680547.20956238 1682952.37134019],[ 13270.73622321 642033.69224972]
NGC7331,0.3058229979368189,13528647.844574438,8.963597328503045,[0.3057476  0.30590951],[13508356.17723955 13548511.03551193],[8.95529718 8.97238866]
UGC12632,0.9954644076177575,32335678.94245571,1.5810922565848053,[0.98790212 0.99934268],[32008471.57496975 32684693.49556466],[1.57191874 1.58976474]
NGC5033,0.468436953891778,107299330.87176645,2.466625943709322,[0.46809354 0.468803  ],[1.06855112e+08 1.07729127e+08],[2.46165775 2.47179289]
NGC0300,0.8618750067976103,13031358.97114833,4.4283178630582745,[0.85735873 0.86636446],[12876999.24994433 13190810.27241769],[4.39104917 4.46460045]
UGC03546,0.47077109817278373,21787292.06615368,5.4593846779316895,[0.47056789 0.47099589],[21738005.25288801 21829930.45180227],[5.4533487  5.46617727]
UGCA442,0.06969422423682109,33555039.686753206,1.5387607994066195,[0.03022586 0.11967457],[32983197.03736162 34011483.46811149],[1.52791522 1.55273029]
UGC06399,0.7545602862521745,27280444.207876723,2.434154606449642,[0.70925023 0.79536598],[25490813.91133149 29199924.57550973],[2.35520717 2.5154632 ]
IC2574,0.6408616832272334,2113107.2718909993,53500.57544984027,[0.64056767 0.64119578],[2112597.85679968 2113581.85006408],[  1855.50960112 733453.42719952]
F571-8,0.06889549576466138,53359529.8350459,3.2283379894069144,[0.06796693 0.06983789],[53155712.8358244 53590394.7082316],[3.21925156 3.23626472]
UGC02023,0.21894114413192264,10195787.157734416,4600.468274080781,[0.17120813 0.26574907],[ 9658848.93556775 10736911.95081442],[8.58484800e+01 2.20559916e+05]
UGC11820,0.9999887919399597,6290556.2249523075,5.117632863060179,[0.99996732 0.99999855],[6284970.35593294 6296698.23430882],[5.11388857 5.12138212]
NGC5371,0.4616812802763249,429915.92908354744,90848.23806004162,[0.46164727 0.4617183 ],[429656.53958057 430169.45227883],[ 20230.15649517 443042.54813159]
UGC08490,0.7568922421655382,177251617.06881782,0.788274535162601,[0.74702797 0.76725201],[1.71938869e+08 1.82187995e+08],[0.77729801 0.80066102]
NGC4183,0.4279473685027433,99446472.22053479,1.3431288050783865,[0.42348965 0.43214577],[9.79284522e+07 1.00967496e+08],[1.33328741 1.3530633 ]
NGC4013,0.49407865365074793,4418811.893082174,14.840919774788228,[0.49392697 0.49424989],[4405607.95182511 4429561.89678238],[14.80881777 14.88140557]
UGC06923,0.20904208430874965,78197863.51403475,1.3759015390231655,[0.18491921 0.23018929],[73286761.24958585 83632053.60295281],[1.32883729 1.42014714]
F571-V1,0.598996825543112,16742366.4990349,3.007098896641167,[0.51979054 0.68749353],[15210643.73819014 18539624.15533385],[2.85093387 3.15971107]
F568-3,0.000652873179694209,22302733.39020348,3.88052207942195,[2.29357305e-05 2.20215598e-03],[22213357.51668908 22410747.82216555],[3.86343768 3.89568449]
UGC07232,0.31345234702332503,124290970.1188933,1037.4131411967846,[0.29932255 0.32743074],[1.22733515e+08 1.26018408e+08],[2.42892757e+01 1.10914792e+05]
NGC4100,0.3788008289043563,243190171.85395765,1.3513204364968436,[0.3780613  0.37952536],[2.40697865e+08 2.46069222e+08],[1.34360133 1.35862856]
NGC6015,0.7634985218028307,3070078.7905805176,17.33087607029972,[0.76346814 0.76353214],[3068353.50316055 3072105.17537718],[17.31849258 17.34219195]
UGC08286,0.2077598026975983,330278060.78509164,0.6274086223558158,[0.20446683 0.21083367],[3.28139894e+08 3.31910461e+08],[0.62579781 0.62938052]
NGC2955,0.5651001062388169,877688.2703342318,24226.530753205523,[0.56503149 0.56517093],[873799.37700092 881893.92033039],[  3782.78188891 263009.38636378]
F563-V1,0.6694987440893271,3.7793303159337336e-122,8.716269187334986e-115,[0.65256351 0.68337851],[1.90206056e-253 3.71630926e-030],[6.43091574e-235 5.24912202e-032]
NGC6674,0.9999993104870408,917865.9658537422,50.86296011568781,[0.99999711 0.99999996],[917481.7196863  918162.89597816],[50.83767782 50.89182356]
CamB,0.0001351677272864156,5682303.388112766,1007.1030536555696,[-0.00971147  0.00046092],[5645134.38752692 5718459.0290407 ],[  270.46237461 54772.73979384]
UGC06930,0.3277994951631193,88292773.70811094,1.455269351982569,[0.30962355 0.34448162],[84910335.55292381 92092246.1158467 ],[1.42954377 1.48009694]
NGC4217,0.16435991802243044,170007926.9803643,1.9993897237142586,[0.16344808 0.16523113],[1.68278284e+08 1.71889038e+08],[1.98815179 2.01018821]
D512-2,0.687501577350687,26704542.566907413,1.0394117270149295,[0.60800638 0.76308454],[23553465.04826564 29974336.37625399],[0.99245939 1.09399843]
UGC02953,0.565234978674966,17185957.87680704,8.844736629006842,[0.56522585 0.56524401],[17183598.01265867 17188416.50057884],[8.84392579 8.8455472 ]
UGC05721,0.5385319272234941,583570559.9338877,0.4522680901671173,[0.52906984 0.54843198],[5.70429684e+08 5.96190535e+08],[0.4473756  0.45750102]
UGC06818,0.0007695714309122253,15471112.690107176,4.119749644642538,[-0.00974964  0.00239787],[15279846.81030174 15664136.05474689],[4.06552735 4.17564379]
ESO444-G084,0.9991922933971377,80749651.55120002,1.1973459254867536,[0.99771061 0.99993276],[80490598.74166507 81029123.68378842],[1.19427762 1.20028018]
UGC05999,0.005215599626082605,19751629.338263143,3.316676956847787,[0.00124954 0.0133721 ],[19473617.16443811 19981538.44632902],[3.2921334  3.34407878]
UGC07089,0.6701377286752005,2600230.5588652217,43.540771108793145,[0.6534428  0.67598856],[2555020.57391512 2801865.47228455],[2.12413129e+01 1.52541480e+05]
NGC4559,0.1276958755652711,111701285.34087971,1.534750612821316,[0.12489226 0.13014044],[1.09371622e+08 1.14324655e+08],[1.51744997 1.55100501]
NGC3521,0.418574738897768,12287126.140337247,11.092442869418942,[0.41839987 0.41874525],[12206985.18094501 12383960.27480655],[11.00066972 11.17426164]
NGC2976,0.3810518220384408,69775411.03502885,2.044683683888047,[0.37634829 0.38573267],[68378595.26128578 71136923.50029103],[2.01921928 2.07123512]
NGC3726,0.5006598508606284,1297813.3692463033,88.46031810495967,[0.50031218 0.50100476],[1290447.29411649 1305076.01425054],[83.04710919 94.6931182 ]
NGC5005,0.4614537628641603,8926094.95055732,5822.115930862007,[0.46097965 0.46190091],[8779292.51676578 9060123.12673126],[   182.63638191 173777.81244181]
UGC06446,0.980910793531306,72000493.11081162,1.2973012416689758,[0.55754859 0.9954419 ],[7.04901258e+07 1.25538892e+08],[0.98709333 1.31226667]
NGC4088,0.31163748096184474,3023349.283476816,22.11112923922977,[0.311044   0.31218719],[2980941.78445041 3066601.10139711],[21.59029539 22.67516661]
NGC4157,0.4006882572110968,4387096.860387834,15.77093808882739,[0.40011313 0.40123343],[4346493.62928903 4422764.69765443],[15.63250046 15.92123259]
UGC12506,0.5668565032205891,401038298.92823917,1.3492277623186322,[0.56320877 0.57018515],[3.91062457e+08 4.10465526e+08],[1.33355697 1.36675089]
UGC00128,0.7143984904940929,21823871.53113588,3.6838491177831396,[0.71394304 0.71483841],[21804525.1046354  21844770.41175715],[3.68214229 3.68549132]
UGC08837,0.05052993639734836,9445373.364521408,3.9750508748338724,[0.02971664 0.06888591],[9129585.33447103 9800426.61297525],[3.83287052 4.13230639]
UGC01281,0.019694255808773042,34971684.437305555,1.6605594023680894,[0.00517765 0.04721278],[34303965.95721808 35494269.8035348 ],[1.64436237 1.6800056 ]
UGC05829,0.974744581814668,9924246.190486811,3.3311302669285427,[0.92939656 0.99300666],[ 9573221.14547285 10428063.99012484],[3.21159484 3.44072414]
NGC0891,0.20908923006001612,248094924.3253514,1.729186774145876,[0.2088339  0.20932604],[2.46744217e+08 2.49521329e+08],[1.72414047 1.73403141]
NGC3769,0.17299504002674596,169760255.2815219,1.2318164275032526,[0.16875029 0.1768747 ],[1.62890118e+08 1.77752292e+08],[1.20384563 1.25740556]
UGC08550,0.9993960246256648,41380676.55653137,1.3081886063072197,[0.99814269 0.99997135],[41112514.36863013 41643477.80196249],[1.30247673 1.31480422]
ESO116-G012,0.4809088539907702,52715739.445678994,2.2712736277818246,[0.47773925 0.48362991],[52375862.33589698 53116110.10601641],[2.26199165 2.27935773]
F568-V1,0.9944585675247348,91902935.39358354,1.7180248072700528,[0.98534838 0.99919208],[90302521.95774253 93737858.22884767],[1.69745408 1.74155845]
UGC06614,0.5568177118721807,3700488.7302714284,17.44179812634403,[0.55496489 0.55919872],[3638766.88286859 3750984.85632569],[17.25628875 17.65084632]
UGC11914,0.6443605618990322,13153931.697612127,364684.1143766346,[0.64432786 0.64439073],[13149900.5343043  13158364.05766151],[ 26381.57369934 867639.01170883]
UGC11455,0.3053105270899765,35561386.34202378,5.652621397002553,[0.30487077 0.30578418],[35378688.32098851 35741312.60887992],[5.63836546 5.66616635]
F563-1,0.15443733323339356,70721557.8036197,1.8520212886076557,[0.0741932  0.24347779],[67972313.16990079 73330506.40164967],[1.81938099 1.88807637]
NGC3198,0.3791589787872731,41425767.63629544,3.0248176487321965,[0.37891767 0.37939055],[41356796.60098555 41502242.8854923 ],[3.02196131 3.02736101]
UGC05414,0.47326773101957653,19790002.88545442,2.4090633325982105,[0.45599991 0.49073793],[18986920.10533185 20556323.81746937],[2.3474209  2.47728899]
DDO154,1.6035387412192724e-05,29435449.952840075,1.4357897993851352,[-1.13652142e-02  8.35247193e-05],[29424378.21567243 29445249.38451045],[1.43533266 1.43611535]
UGC06667,0.0025025099764139982,61135068.32639841,1.7424870836891193,[0.00028465 0.00723269],[60837393.16433696 61447188.51774639],[1.73687206 1.74837661]
NGC3917,0.46796600857071535,47171379.92833925,2.4727827084286496,[0.46568463 0.47006464],[46851308.62127182 47488442.61819222],[2.46578249 2.47977671]
UGC04483,0.3686142810177362,150532234.66390154,0.26757916495745926,[0.29723986 0.45176439],[1.34496112e+08 1.66493123e+08],[0.2538055  0.28406498]
UGC09133,0.5587010171782287,14428432.457361562,7.372171595119249,[0.55867716 0.55872586],[14421640.76192983 14434630.66181867],[7.37046715 7.37407069]
NGC7814,0.513383811938299,221105581.81540605,1.7896176687208978,[0.51183857 0.51485155],[2.17700883e+08 2.24883372e+08],[1.77398462 1.80343705]
UGC02259,0.24033014603680602,612633572.7092776,0.4638251016575345,[0.2350811  0.24607496],[6.06482131e+08 6.17573536e+08],[0.4620536  0.46590478]
F579-V1,0.189667912024766,708375549.1775082,0.5542816578307982,[0.1522359  0.22623479],[6.84924630e+08 7.32444678e+08],[0.54106562 0.56753044]
NGC1090,0.3136107769896077,59374799.7034313,2.5756144916545956,[0.31319896 0.31393844],[59087235.4686514  59687560.78809213],[2.56886103 2.58211667]
NGC2903,0.20664595584266074,878965484.709683,0.8141384967667719,[0.20648024 0.20689353],[8.71276080e+08 8.83766271e+08],[0.81191584 0.81776141]
F583-4,0.0032401168663281016,57815773.14337262,1.346617242213381,[0.00053187 0.009112  ],[56223454.48453557 59325330.93599338],[1.32260245 1.37033395]
NGC0100,0.30908534492232276,29740155.778404403,2.5784945979041556,[0.29806229 0.32012493],[28949546.66504567 30603554.65078798],[2.53767626 2.61853437]
NGC3109,0.005244833633794421,20515752.090851296,2.7654409395910435,[0.00106123 0.01369039],[20446183.7911041 20566775.8286504],[2.75976034 2.77276982]
F567-2,0.8827534349490782,9497314.505072936,1.6353004946395968,[0.79344686 0.95815419],[ 7209817.39442766 12985590.59892973],[1.43699848 1.86035686]
UGC10310,0.9930939882730316,36405294.67595252,1.3163292774915543,[0.98258078 0.99796925],[35090313.08644112 38047540.86707918],[1.28416648 1.34810088]
F574-2,0.42559472940141635,1.0873919862899092e-71,1.016054904262728e-110,[0.3993959  0.44727614],[8.98994958e-212 3.11663281e-006],[1.16432636e-239 2.27534115e-018]
D564-8,0.09904873034988126,14890964.272630425,1.1437832977387363,[0.03863282 0.16532329],[14071474.05424448 15605357.20467822],[1.11146357 1.18455827]
F563-V2,0.995701407805854,110464890.48673719,1.5706348611688308,[0.98771871 0.9994365 ],[1.08036991e+08 1.13082731e+08],[1.54451819 1.59732278]
NGC2998,0.4497659373091686,18966660.45453311,5.910142314266647,[0.44852219 0.45122054],[18707616.70545825 19212661.9725937 ],[5.87063139 5.95263701]
UGC06917,0.15417792769562821,88648665.54097937,1.652351464848549,[0.14167698 0.16617353],[86452626.28369142 90743956.8267023 ],[1.63665577 1.67064519]
NGC0247,0.9999396617177254,28329992.7952872,1.6479778281406274,[0.99979668 1.01340117],[28264988.17166239 28383618.25376644],[1.64510364 1.65019068]
NGC3893,0.2932171513590165,153963340.78607953,1.8887536307544561,[0.29155918 0.2947074 ],[1.51294852e+08 1.57569802e+08],[1.86640214 1.9059873 ]
UGC12732,0.0002022146447493929,53704616.81556218,1.7080999301965714,[-0.01319396  0.00081033],[52991550.14290889 54093921.78997529],[1.70009398 1.71707313]
UGC09037,3.171526256167338e-05,64807774.024306014,2.7459219965690624,[-1.05387462e-02  9.89270444e-05],[64569059.66603728 65020275.56583866],[2.73871124 2.75179327]
UGC09992,0.5675761794479756,645926402.436124,0.1202089555083938,[0.45002126 0.69286058],[4.05714189e+08 8.81712834e+08],[0.10039877 0.14636381]
NGC4068,0.4724922024039041,9663013.229028622,233.946127383342,[0.46195691 0.48233451],[9493075.93405055 9871823.96964602],[1.06426115e+01 6.24233211e+04]
UGC06973,0.10153301054931022,542588566.428115,1.0231871584094123,[0.10064235 0.1025259 ],[5.26409348e+08 5.59164869e+08],[1.00679057 1.04022606]
UGC05750,0.9041789419164654,5039455.704343823,4.7161537367609245,[0.85766674 0.95601206],[4755665.90396849 5328769.28841467],[4.58027159 4.86619377]
KK98-251,0.05891855471269315,14112186.222888242,1.736086714592218,[0.01856549 0.11788956],[13704109.60499976 14395266.78889018],[1.71506827 1.76054336]
UGC06628,0.45405989153140935,7.00434399495434e-135,1.6015624310936224e-85,[0.44354219 0.46374397],[9.46425685e-256 4.31049705e-026],[4.96932599e-229 8.63539212e-016]
NGC3877,0.5331886550260149,2.1663982034455324e-116,1.7302373392073881e-74,[0.53300104 0.53337557],[3.05559589e-247 1.49776506e-015],[5.82984881e-207 1.21952601e-010]
UGC07577,0.14600888067687934,3680465.816505895,2901.64437313775,[0.10041887 0.18828601],[3388417.10193185 3981825.56091947],[4.11526685e+01 1.34679400e+05]
NGC4085,0.054369670702373044,212747272.029442,1.4664084498659709,[0.04897486 0.05867405],[2.08119390e+08 2.18557608e+08],[1.45090412 1.47996278]
NGC2915,0.004546865178290697,557530474.3978094,0.4918903763009722,[0.00103018 0.01164472],[5.37110414e+08 5.77622848e+08],[0.48264439 0.50175751]
